code	word	freq	primary_code	misread_char	prim_syl	wrong_syl
bobei	薄被	13674	baobei	薄	bao	bo
danghuozhengfu	党和政府	13672	danghezhengfu	和	he	huo
quanguorendachangweikuai	全国人大常委会	13671	quanguorendachangweihui	会	hui	kuai
changzhuo	长桌	13668	zhangzhuo	长	zhang	chang
cheji	车系	13668	chexi	系	xi	ji
daikuai	带会	13665	daihui	会	hui	kuai
zhuandian	传电	13662	chuandian	传	chuan	zhuan
sheiliao	谁料	13660	shuiliao	谁	shui	shei
guangjuejing	广角镜	13658	guangjiaojing	角	jiao	jue
haidubu	还都不	13658	haidoubu	都	dou	du
huandoubu	还都不	13658	haidoubu	还	hai	huan
huandubu	还都不	13658	haidoubu	还	hai	huan
huangenzhe	还跟着	13658	haigenzhe	还	hai	huan
kaoshie	考试哦	13658	kaoshio	哦	o	e
moci	没词	13658	meici	没	mei	mo
meilianmopi	没脸没皮	13658	meilianmeipi	没	mei	mo
nongdeihao	弄得好	13658	nongdehao	得	de	dei
caidei	踩得	13651	caide	得	de	dei
gezhao	搁着	13650	gezhe	着	zhe	zhao
gezhuo	搁着	13650	gezhe	着	zhe	zhuo
jiaojie	觉解	13650	juejie	觉	jue	jiao
pengdei	碰得	13650	pengde	得	de	dei
jueqian	角钱	13644	jiaoqian	角	jiao	jue
zuidaizhi	最大值	13637	zuidazhi	大	da	dai
tanmianhua	弹棉花	13630	danmianhua	弹	dan	tan
haide	咳得	13630	kede	咳	ke	hai
haidei	咳得	13630	kede	咳	ke	hai
kedei	咳得	13630	kede	得	de	dei
meizhiliao	没治了	13630	meizhile	了	le	liao
mozhile	没治了	13630	meizhile	没	mei	mo
mozhiliao	没治了	13630	meizhile	没	mei	mo
xiazhaoxue	下着雪	13630	xiazhexue	着	zhe	zhao
xiazhuoxue	下着雪	13630	xiazhexue	着	zhe	zhuo
zhuisuizhao	追随着	13630	zhuisuizhe	着	zhe	zhao
zhuisuizhuo	追随着	13630	zhuisuizhe	着	zhe	zhuo
guoqiao	果壳	13629	guoke	壳	ke	qiao
wuqiongdi	无穷的	13626	wuqiongde	的	de	di
minhang	民行	13624	minxing	行	xing	hang
kuaiqing	会庆	13619	huiqing	会	hui	kuai
wulunshei	无论谁	13605	wulunshui	谁	shui	shei
lamei	落梅	13604	luomei	落	luo	la
zuibo	最薄	13604	zuibao	薄	bao	bo
dewang	地网	13602	diwang	地	di	de
lvlvdi	绿绿的	13600	lvlvde	的	de	di
bobu	卜卜	13598	bobo	卜	bo	bu
bubo	卜卜	13598	bobo	卜	bo	bu
bubu	卜卜	13598	bobo	卜	bo	bu
zhaoxianbandao	朝鲜半岛	13595	chaoxianbandao	朝	chao	zhao
daidupi	大肚皮	13581	dadupi	大	da	dai
beidaiqinghua	北大清华	13575	beidaqinghua	大	da	dai
changzui	长嘴	13572	zhangzui	长	zhang	chang
yimozhong	一万种	13571	yiwanzhong	万	wan	mo
daiyu	大渔	13558	dayu	大	da	dai
guanliji	管理系	13557	guanlixi	系	xi	ji
poqiao	破壳	13556	poke	壳	ke	qiao
chuliaomen	出了门	13546	chulemen	了	le	liao
jidianqian	给点钱	13546	geidianqian	给	gei	ji
motao	没讨	13546	meitao	没	mei	mo
wuqingde	无情地	13544	wuqingdi	地	di	de
yimoliuqian	一万六千	13536	yiwanliuqian	万	wan	mo
shudei	熟得	13532	shude	得	de	dei
moling	万零	13531	wanling	万	wan	mo
daiyunhui	大运会	13523	dayunhui	大	da	dai
daiyunkuai	大运会	13523	dayunhui	大	da	dai
dayunkuai	大运会	13523	dayunhui	会	hui	kuai
duhuiqing	都悔青	13518	douhuiqing	都	dou	du
kanxie	看血	13518	kanxue	血	xue	xie
sekesi	塞克斯	13513	saikesi	塞	sai	se
shiwu	十恶	13511	shie	恶	e	wu
zhitan	指弹	13511	zhidan	弹	dan	tan
zhaoxianzhanzheng	朝鲜战争	13510	chaoxianzhanzheng	朝	chao	zhao
huanzhiqirenzhishen	还治其人之身	13509	haizhiqirenzhishen	还	hai	huan
xiemantou	血馒头	13509	xuemantou	血	xue	xie
tangdei	烫得	13508	tangde	得	de	dei
kuofeng	适逢	13507	shifeng	适	shi	kuo
deiminxin	得民心	13505	deminxin	得	de	dei
liangdaizeng	量大增	13498	liangdazeng	大	da	dai
minhangqu	闵行区	13497	minxingqu	行	xing	hang
jiaman	加埋	13495	jiamai	埋	mai	man
hangxiazhangyi	行侠仗义	13494	xingxiazhangyi	行	xing	hang
cedei	测得	13490	cede	得	de	dei
hangzhao	行照	13490	xingzhao	行	xing	hang
xiangmo	降魔	13490	jiangmo	降	jiang	xiang
duoma	多抹	13489	duomo	抹	mo	ma
liaodai	辽大	13489	liaoda	大	da	dai
lixinhuan	李寻欢	13489	lixunhuan	寻	xun	xin
mayao	抹药	13489	moyao	抹	mo	ma
haitiao	还调	13488	haidiao	调	diao	tiao
huandiao	还调	13488	haidiao	还	hai	huan
huantiao	还调	13488	haidiao	还	hai	huan
shihang	市行	13488	shixing	行	xing	hang
chongjian	重剑	13480	zhongjian	重	zhong	chong
yujiaoyuyue	寓教于乐	13477	yujiaoyule	乐	le	yue
ershiwumo	二十五万	13475	ershiwuwan	万	wan	mo
ershidai	二十大	13472	ershida	大	da	dai
junyidai	军医大	13469	junyida	大	da	dai
tingdeichu	听得出	13459	tingdechu	得	de	dei
sisidi	死死的	13453	siside	的	de	di
tandaodaodan	弹道导弹	13448	dandaodaodan	弹	dan	tan
kuohun	适婚	13447	shihun	适	shi	kuo
huanjue	换角	13446	huanjiao	角	jiao	jue
moxiang	没向	13436	meixiang	没	mei	mo
zhuanshangqu	传上去	13430	chuanshangqu	传	chuan	zhuan
tanqilai	弹起来	13430	danqilai	弹	dan	tan
shenghang	省行	13424	shengxing	行	xing	hang
yunlailiao	运来了	13423	yunlaile	了	le	liao
huohuase	火花塞	13411	huohuasai	塞	sai	se
modeizhao	摸得着	13410	modezhe	得	de	dei
modeizhe	摸得着	13410	modezhe	得	de	dei
modeizhuo	摸得着	13410	modezhe	得	de	dei
modezhao	摸得着	13410	modezhe	着	zhe	zhao
modezhuo	摸得着	13410	modezhe	着	zhe	zhuo
daibianju	大变局	13406	dabianju	大	da	dai
daibian	大边	13398	dabian	大	da	dai
shengtaiji	生态系	13398	shengtaixi	系	xi	ji
tuidei	推得	13396	tuide	得	de	dei
dandande	淡淡地	13392	dandandi	地	di	de
jizhao	藉著	13390	jizhu	著	zhu	zhao
jizhe	藉著	13390	jizhu	著	zhu	zhe
jizhuo	藉著	13390	jizhu	著	zhu	zhuo
chongshua	重刷	13384	zhongshua	重	zhong	chong
miliaolu	迷了路	13377	milelu	了	le	liao
weichai	微差	13375	weicha	差	cha	chai
woqiao	蜗壳	13370	woke	壳	ke	qiao
diaodaiyu	钓大鱼	13366	diaodayu	大	da	dai
hushanhang	虎山行	13366	hushanxing	行	xing	hang
xiepen	血盆	13366	xuepen	血	xue	xie
taidei	抬得	13362	taide	得	de	dei
daishu	大鼠	13360	dashu	大	da	dai
wuping	恶评	13358	eping	恶	e	wu
daiyeban	大夜班	13355	dayeban	大	da	dai
cujinkuai	促进会	13354	cujinhui	会	hui	kuai
liangsanmo	两三万	13352	liangsanwan	万	wan	mo
mikuai	密会	13348	mihui	会	hui	kuai
yunhanzhao	蕴含着	13346	yunhanzhe	着	zhe	zhao
yunhanzhuo	蕴含着	13346	yunhanzhe	着	zhe	zhuo
deise	得色	13343	dese	得	de	dei
zunchang	尊长	13341	zunzhang	长	zhang	chang
bideiguo	比得过	13339	bideguo	得	de	dei
chaibucha	差不差	13339	chabucha	差	cha	chai
tiliao	剔了	13339	tile	了	le	liao
benji	本系	13338	benxi	系	xi	ji
tingkuai	停会	13329	tinghui	会	hui	kuai
chongzhe	重者	13328	zhongzhe	重	zhong	chong
baogaokuai	报告会	13323	baogaohui	会	hui	kuai
liankuai	联会	13322	lianhui	会	hui	kuai
shentuan	参团	13319	cantuan	参	can	shen
lengliao	楞了	13317	lengle	了	le	liao
tongmengkuai	同盟会	13311	tongmenghui	会	hui	kuai
zhengmangzhao	正忙着	13311	zhengmangzhe	着	zhe	zhao
zhengmangzhuo	正忙着	13311	zhengmangzhe	着	zhe	zhuo
shisanmo	十三万	13310	shisanwan	万	wan	mo
chenxin	陈寻	13308	chenxun	寻	xun	xin
ciyanchaiyi	此言差矣	13308	ciyanchayi	差	cha	chai
dongbeijue	东北角	13302	dongbeijiao	角	jiao	jue
jingzhao	京朝	13297	jingchao	朝	chao	zhao
yimoyi	一万亿	13290	yiwanyi	万	wan	mo
shisimo	十四万	13285	shisiwan	万	wan	mo
deku	地库	13282	diku	地	di	de
nanguaikuai	难怪会	13282	nanguaihui	会	hui	kuai
tuiyimo	退一万	13282	tuiyiwan	万	wan	mo
shidaifuzhong	师大附中	13280	shidafuzhong	大	da	dai
bianbo	变薄	13278	bianbao	薄	bao	bo
suinipian	随你便	13277	suinibian	便	bian	pian
zhaoguan	朝官	13275	chaoguan	朝	chao	zhao
zede	泽地	13275	zedi	地	di	de
kuaidong	会东	13271	huidong	会	hui	kuai
deiyi	得宜	13268	deyi	得	de	dei
jiaojijuan	交际圈	13257	jiaojiquan	圈	quan	juan
daiyuan	大元	13255	dayuan	大	da	dai
chuanzhuan	川传	13252	chuanchuan	传	chuan	zhuan
tuxiang	突降	13246	tujiang	降	jiang	xiang
yongzhao	拥着	13246	yongzhe	着	zhe	zhao
yongzhuo	拥着	13246	yongzhe	着	zhe	zhuo
daiao	大袄	13245	daao	大	da	dai
gaoliaobantian	搞了半天	13245	gaolebantian	了	le	liao
mozhiqi	没志气	13245	meizhiqi	没	mei	mo
xuetingliao	雪停了	13245	xuetingle	了	le	liao
sesheer	塞舌尔	13241	saisheer	塞	sai	se
xiaojian	削尖	13227	xuejian	削	xue	xiao
qiansuoweixian	前所未见	13225	qiansuoweijian	见	jian	xian
jiaochangshijian	较长时间	13221	jiaozhangshijian	长	zhang	chang
shidanlibo	势单力薄	13219	shidanlibao	薄	bao	bo
deiliburao	得理不饶	13212	deliburao	得	de	dei
haideiqi	还得起	13212	haideqi	得	de	dei
huandeiqi	还得起	13212	haideqi	还	hai	huan
huandeqi	还得起	13212	haideqi	还	hai	huan
moguqi	没骨气	13212	meiguqi	没	mei	mo
fugaishuai	覆盖率	13204	fugailv	率	lv	shuai
kendei	啃得	13202	kende	得	de	dei
mofen	没份	13202	meifen	没	mei	mo
zhengde	征地	13202	zhengdi	地	di	de
hangseng	行僧	13199	xingseng	行	xing	hang
zhaolu	着录	13184	zhelu	着	zhe	zhao
zhuolu	着录	13184	zhelu	着	zhe	zhuo
baidei	摆得	13180	baide	得	de	dei
baojiaobaokuai	包教包会	13180	baojiaobaohui	会	hui	kuai
qiaoer	壳儿	13180	keer	壳	ke	qiao
daidangjia	大当家	13179	dadangjia	大	da	dai
doujuan	兜圈	13175	douquan	圈	quan	juan
leila	泪落	13171	leiluo	落	luo	la
pianchang	片长	13167	pianzhang	长	zhang	chang
changchang	场长	13166	changzhang	长	zhang	chang
daipailiang	大排量	13165	dapailiang	大	da	dai
xundei	熏得	13165	xunde	得	de	dei
wawadaiku	哇哇大哭	13161	wawadaku	大	da	dai
jiazhao	架着	13159	jiazhe	着	zhe	zhao
jiazhuo	架着	13159	jiazhe	着	zhe	zhuo
heiwu	黑恶	13149	heie	恶	e	wu
daigang	大缸	13147	dagang	大	da	dai
yingdingliao	赢定了	13147	yingdingle	了	le	liao
sebandao	塞班岛	13144	saibandao	塞	sai	se
xinanjue	西南角	13141	xinanjiao	角	jiao	jue
kuaizi	会子	13136	huizi	会	hui	kuai
juanwairen	圈外人	13134	quanwairen	圈	quan	juan
houdai	厚大	13124	houda	大	da	dai
deirong	得荣	13120	derong	得	de	dei
zhaobuzhaobei	找不着北	13119	zhaobuzhebei	着	zhe	zhao
zhaobuzhuobei	找不着北	13119	zhaobuzhebei	着	zhe	zhuo
daixide	大溪地	13114	daxidi	大	da	dai
daixidi	大溪地	13114	daxidi	大	da	dai
daxide	大溪地	13114	daxidi	地	di	de
xieren	血人	13113	xueren	血	xue	xie
zhezhuan	浙传	13113	zhechuan	传	chuan	zhuan
kaozhao	靠著	13112	kaozhu	著	zhu	zhao
kaozhe	靠著	13112	kaozhu	著	zhu	zhe
kaozhuo	靠著	13112	kaozhu	著	zhu	zhuo
jiangdeizhu	奖得主	13109	jiangdezhu	得	de	dei
xiaodiao	削掉	13108	xuediao	削	xue	xiao
dierhang	第二行	13103	dierxing	行	xing	hang
tiaoqi	调起	13092	diaoqi	调	diao	tiao
pindei	拼得	13087	pinde	得	de	dei
xiedi	血滴	13087	xuedi	血	xue	xie
cidu	瓷都	13080	cidou	都	dou	du
chongyou	重邮	13079	zhongyou	重	zhong	chong
hongliaoyan	红了眼	13079	hongleyan	了	le	liao
keji	科系	13079	kexi	系	xi	ji
mochao	没炒	13079	meichao	没	mei	mo
xiandeiwuliao	闲得无聊	13079	xiandewuliao	得	de	dei
deibiao	得标	13071	debiao	得	de	dei
xinhang	新行	13071	xinxing	行	xing	hang
juanqilai	圈起来	13069	quanqilai	圈	quan	juan
zhuanshu	传书	13068	chuanshu	传	chuan	zhuan
tanxia	弹匣	13066	danxia	弹	dan	tan
chongfang	重放	13065	zhongfang	重	zhong	chong
hangyue	行约	13065	xingyue	行	xing	hang
abudu	阿卜杜	13064	abodu	卜	bo	bu
chongshan	重山	13063	zhongshan	重	zhong	chong
zhanshikuai	展示会	13058	zhanshihui	会	hui	kuai
paodeiman	跑得慢	13056	paodeman	得	de	dei
jiadaikong	假大空	13053	jiadakong	大	da	dai
chaitan	拆弹	13052	chaidan	弹	dan	tan
daiyawan	大亚湾	13046	dayawan	大	da	dai
zhaoshu	著述	13046	zhushu	著	zhu	zhao
zheshu	著述	13046	zhushu	著	zhu	zhe
zhuoshu	著述	13046	zhushu	著	zhu	zhuo
guangdei	逛得	13045	guangde	得	de	dei
qingyichong	情意重	13045	qingyizhong	重	zhong	chong
sheyan	折颜	13045	zheyan	折	zhe	she
daisanba	大三巴	13036	dasanba	大	da	dai
xianjiaodai	西安交大	13036	xianjiaoda	大	da	dai
chenyangzhan	沈阳站	13030	shenyangzhan	沈	shen	chen
xianchu	见出	13030	jianchu	见	jian	xian
zhenchengliao	真成了	13027	zhenchengle	了	le	liao
jizhongde	集中地	13025	jizhongdi	地	di	de
chuila	吹落	13024	chuiluo	落	luo	la
daibi	大比	13019	dabi	大	da	dai
hangke	行客	13014	xingke	行	xing	hang
bengzhao	绷着	13010	bengzhe	着	zhe	zhao
bengzhuo	绷着	13010	bengzhe	着	zhe	zhuo
daiyandai	大眼袋	13010	dayandai	大	da	dai
cuchong	粗重	13006	cuzhong	重	zhong	chong
daihan	大旱	13002	dahan	大	da	dai
mode	漠地	12993	modi	地	di	de
changtongwa	长筒袜	12991	zhangtongwa	长	zhang	chang
daibianyang	大变样	12991	dabianyang	大	da	dai
chongjian	重见	12986	zhongjian	重	zhong	chong
chongxian	重见	12986	zhongjian	重	zhong	chong
zhongxian	重见	12986	zhongjian	见	jian	xian
chaixie	差些	12983	chaxie	差	cha	chai
cixiaobichang	此消彼长	12978	cixiaobizhang	长	zhang	chang
lingkuaidao	领会到	12978	linghuidao	会	hui	kuai
dayini	大衣呢	12975	dayine	呢	ne	ni
sheshe	折折	12974	zhezhe	折	zhe	she
shezhe	折折	12974	zhezhe	折	zhe	she
zheshe	折折	12974	zhezhe	折	zhe	she
xiezu	血族	12972	xuezu	血	xue	xie
nazhao	拿著	12961	nazhu	著	zhu	zhao
nazhe	拿著	12961	nazhu	著	zhu	zhe
nazhuo	拿著	12961	nazhu	著	zhu	zhuo
zhadei	乍得	12954	zhade	得	de	dei
boshu	蕃薯	12953	fanshu	蕃	fan	bo
daizhu	大珠	12953	dazhu	大	da	dai
juemei	角美	12953	jiaomei	角	jiao	jue
zhizhao	直着	12949	zhizhe	着	zhe	zhao
zhizhuo	直着	12949	zhizhe	着	zhe	zhuo
daikuaiduoyi	大快朵颐	12945	dakuaiduoyi	大	da	dai
tiaowei	调为	12945	diaowei	调	diao	tiao
chongqingyi	重情义	12944	zhongqingyi	重	zhong	chong
xiechang	血肠	12941	xuechang	血	xue	xie
huoxiaohong	和小红	12939	hexiaohong	和	he	huo
wuzhaolian	捂着脸	12939	wuzhelian	着	zhe	zhao
wuzhuolian	捂着脸	12939	wuzhelian	着	zhe	zhuo
couhuo	凑和	12938	couhe	和	he	huo
bodei	播得	12937	bode	得	de	dei
sezu	塞族	12924	saizu	塞	sai	se
changpian	长片	12920	zhangpian	长	zhang	chang
shexia	折下	12915	zhexia	折	zhe	she
daiyuan	大源	12912	dayuan	大	da	dai
tuomu	脱模	12912	tuomo	模	mo	mu
shenjiao	深觉	12908	shenjue	觉	jue	jiao
daizhu	大竹	12907	dazhu	大	da	dai
xinzu	寻租	12905	xunzu	寻	xun	xin
bokuan	薄款	12903	baokuan	薄	bao	bo
deipiaoshu	得票数	12903	depiaoshu	得	de	dei
modanghuishi	没当回事	12903	meidanghuishi	没	mei	mo
wucankuai	午餐会	12901	wucanhui	会	hui	kuai
ganjie	柑桔	12898	ganju	桔	ju	jie
tankeng	弹坑	12896	dankeng	弹	dan	tan
wuliji	物理系	12893	wulixi	系	xi	ji
kuazhao	挎着	12892	kuazhe	着	zhe	zhao
kuazhuo	挎着	12892	kuazhe	着	zhe	zhuo
fashengshuai	发生率	12888	fashenglv	率	lv	shuai
huanyingkuai	欢迎会	12888	huanyinghui	会	hui	kuai
feidai	匪大	12886	feida	大	da	dai
daichaoyijia	大吵一架	12882	dachaoyijia	大	da	dai
banzhaolian	板着脸	12879	banzhelian	着	zhe	zhao
banzhuolian	板着脸	12879	banzhelian	着	zhe	zhuo
shouchong	首重	12875	shouzhong	重	zhong	chong
jiachangban	加长版	12871	jiazhangban	长	zhang	chang
xidei	吸得	12871	xide	得	de	dei
yongbaozhao	拥抱着	12871	yongbaozhe	着	zhe	zhao
yongbaozhuo	拥抱着	12871	yongbaozhe	着	zhe	zhuo
changpi	长皮	12867	zhangpi	长	zhang	chang
dailiangshan	大凉山	12866	daliangshan	大	da	dai
diaoxie	掉血	12866	diaoxue	血	xue	xie
liangmokuai	两万块	12866	liangwankuai	万	wan	mo
xiaqiao	虾壳	12866	xiake	壳	ke	qiao
ermowuqian	二万五千	12861	erwanwuqian	万	wan	mo
daiqiang	大枪	12853	daqiang	大	da	dai
chongban	重瓣	12852	zhongban	重	zhong	chong
tanzhiyihuijian	弹指一挥间	12852	danzhiyihuijian	弹	dan	tan
meihang	每行	12849	meixing	行	xing	hang
zhujiajue	朱家角	12845	zhujiajiao	角	jiao	jue
sheqi	折起	12844	zheqi	折	zhe	she
yadu	亚都	12839	yadou	都	dou	du
zhaidei	摘得	12839	zhaide	得	de	dei
xupeiji	许配给	12833	xupeigei	给	gei	ji
moju	万句	12830	wanju	万	wan	mo
qiangzhao	呛着	12828	qiangzhe	着	zhe	zhao
qiangzhuo	呛着	12828	qiangzhe	着	zhe	zhuo
kandeiyuan	看得远	12825	kandeyuan	得	de	dei
lianxikuai	联席会	12825	lianxihui	会	hui	kuai
sidailingelei	斯大林格勒	12824	sidalingelei	大	da	dai
chengqingkuandai	盛情款待	12818	shengqingkuandai	盛	sheng	cheng
sanjiaode	三角地	12818	sanjiaodi	地	di	de
beizhao	背朝	12817	beichao	朝	chao	zhao
weidishi	为的是	12816	weideshi	的	de	di
daidiao	大雕	12810	dadiao	大	da	dai
daimang	大蟒	12810	damang	大	da	dai
liangjue	两角	12802	liangjiao	角	jiao	jue
xinxin	寻衅	12800	xunxin	寻	xun	xin
daiwan	大湾	12793	dawan	大	da	dai
sijuan	四圈	12792	siquan	圈	quan	juan
dengliangliao	灯亮了	12790	dengliangle	了	le	liao
chongji	重疾	12782	zhongji	重	zhong	chong
xianzhuang	见状	12782	jianzhuang	见	jian	xian
daiwei	大位	12777	dawei	大	da	dai
neijuan	内圈	12775	neiquan	圈	quan	juan
chongdeng	重登	12772	zhongdeng	重	zhong	chong
beihulveliao	被忽略了	12763	beihulvele	了	le	liao
mingji	名系	12760	mingxi	系	xi	ji
kuopeiqi	适配器	12758	shipeiqi	适	shi	kuo
yingde	硬地	12755	yingdi	地	di	de
ruanqiao	软壳	12752	ruanke	壳	ke	qiao
daijin	大锦	12745	dajin	大	da	dai
suochen	所称	12743	suocheng	称	cheng	chen
moji	万几	12736	wanji	万	wan	mo
chengliao	乘了	12730	chengle	了	le	liao
daidu	大赌	12726	dadu	大	da	dai
shunlijinhang	顺利进行	12725	shunlijinxing	行	xing	hang
daijiean	大劫案	12724	dajiean	大	da	dai
yizizhichai	一字之差	12723	yizizhicha	差	cha	chai
caiji	菜系	12717	caixi	系	xi	ji
bianbianjiaojue	边边角角	12715	bianbianjiaojiao	角	jiao	jue
dufu	都府	12715	doufu	都	dou	du
diaoshuai	掉率	12713	diaolv	率	lv	shuai
tuodei	脱得	12713	tuode	得	de	dei
xiaocheng	削成	12712	xuecheng	削	xue	xiao
tiaojiushi	调酒师	12710	diaojiushi	调	diao	tiao
quanbuchong	全部重	12703	quanbuzhong	重	zhong	chong
wuquan	恶犬	12691	equan	恶	e	wu
lingxin	另寻	12691	lingxun	寻	xun	xin
maide	卖地	12691	maidi	地	di	de
batiya	芭堤雅	12685	badiya	堤	di	ti
zhandeizhu	站得住	12685	zhandezhu	得	de	dei
daicang	大仓	12683	dacang	大	da	dai
caideichu	猜得出	12681	caidechu	得	de	dei
xinduqiao	新都桥	12681	xindouqiao	都	dou	du
toudei	投得	12677	toude	得	de	dei
daishei	逮谁	12673	daishui	谁	shui	shei
dianzhao	踮着	12673	dianzhe	着	zhe	zhao
dianzhuo	踮着	12673	dianzhe	着	zhe	zhuo
hangxinghao	行行好	12673	xingxinghao	行	xing	hang
yuetiao	越调	12671	yuediao	调	diao	tiao
daichang	大昌	12659	dachang	大	da	dai
moyuanhu	万元户	12658	wanyuanhu	万	wan	mo
xiaoliaoqilai	笑了起来	12658	xiaoleqilai	了	le	liao
guojiadaijuyuan	国家大剧院	12652	guojiadajuyuan	大	da	dai
daizuo	大佐	12641	dazuo	大	da	dai
xinanjiaodai	西南交大	12638	xinanjiaoda	大	da	dai
jianhang	兼行	12637	jianxing	行	xing	hang
shanyaozhao	闪耀着	12637	shanyaozhe	着	zhe	zhao
shanyaozhuo	闪耀着	12637	shanyaozhe	着	zhe	zhuo
liaochen	辽沈	12635	liaoshen	沈	shen	chen
sikandinaweiya	斯堪的纳维亚	12633	sikandenaweiya	的	de	di
caibuzhao	猜不着	12632	caibuzhe	着	zhe	zhao
caibuzhuo	猜不着	12632	caibuzhe	着	zhe	zhuo
laozhao	捞着	12632	laozhe	着	zhe	zhao
laozhuo	捞着	12632	laozhe	着	zhe	zhuo
xiangcheng	降成	12629	jiangcheng	降	jiang	xiang
dongyuankuai	动员会	12627	dongyuanhui	会	hui	kuai
motou	万头	12624	wantou	万	wan	mo
waixiu	外宿	12624	waisu	宿	su	xiu
leipai	肋排	12612	lepai	肋	le	lei
daiyingbowuguan	大英博物馆	12610	dayingbowuguan	大	da	dai
xibeijue	西北角	12610	xibeijiao	角	jiao	jue
shanshuozhao	闪烁着	12608	shanshuozhe	着	zhe	zhao
shanshuozhuo	闪烁着	12608	shanshuozhe	着	zhe	zhuo
mofen	万份	12604	wanfen	万	wan	mo
xiadaili	下大力	12603	xiadali	大	da	dai
chongji	重击	12601	zhongji	重	zhong	chong
qiaopai	壳牌	12601	kepai	壳	ke	qiao
tandao	弹到	12599	dandao	弹	dan	tan
jiandeduoliao	见得多了	12599	jiandeduole	了	le	liao
zerende	责任地	12599	zerendi	地	di	de
fukuai	妇会	12596	fuhui	会	hui	kuai
shouman	收埋	12596	shoumai	埋	mai	man
moshi	没使	12595	meishi	没	mei	mo
anjue	暗角	12592	anjiao	角	jiao	jue
tongdei	通得	12592	tongde	得	de	dei
daiyali	大鸭梨	12591	dayali	大	da	dai
liangzhao	晾着	12591	liangzhe	着	zhe	zhao
liangzhuo	晾着	12591	liangzhe	着	zhe	zhuo
xiaopingguo	削苹果	12591	xuepingguo	削	xue	xiao
liudei	流得	12587	liude	得	de	dei
daibuyiyang	大不一样	12586	dabuyiyang	大	da	dai
lingchanglei	灵长类	12580	lingzhanglei	长	zhang	chang
weide	围地	12580	weidi	地	di	de
shiliumo	十六万	12577	shiliuwan	万	wan	mo
chaola	潮落	12575	chaoluo	落	luo	la
zhaochen	着称	12575	zhecheng	着	zhe	zhao
zhaocheng	着称	12575	zhecheng	着	zhe	zhao
zhechen	着称	12575	zhecheng	称	cheng	chen
zhuochen	着称	12575	zhecheng	着	zhe	zhuo
zhuocheng	着称	12575	zhecheng	着	zhe	zhuo
maose	茅塞	12569	maosai	塞	sai	se
yuanjue	圆角	12569	yuanjiao	角	jiao	jue
sansimo	三四万	12568	sansiwan	万	wan	mo
zongjiekuai	总结会	12568	zongjiehui	会	hui	kuai
shangbei	上臂	12556	shangbi	臂	bi	bei
mozhehuishi	没这回事	12550	meizhehuishi	没	mei	mo
kuaishichang	会时常	12534	huishichang	会	hui	kuai
nanshuibeitiao	南水北调	12532	nanshuibeidiao	调	diao	tiao
sushuozhao	诉说着	12531	sushuozhe	着	zhe	zhao
sushuozhuo	诉说着	12531	sushuozhe	着	zhe	zhuo
pansuanzhao	盘算着	12530	pansuanzhe	着	zhe	zhao
pansuanzhuo	盘算着	12530	pansuanzhe	着	zhe	zhuo
shouji	售给	12529	shougei	给	gei	ji
mochengxiang	没成想	12526	meichengxiang	没	mei	mo
chonglu	重录	12524	zhonglu	重	zhong	chong
chaoyangmen	朝阳门	12522	zhaoyangmen	朝	zhao	chao
yuman	预埋	12520	yumai	埋	mai	man
yimobaqian	一万八千	12512	yiwanbaqian	万	wan	mo
zunchongshishi	尊重事实	12511	zunzhongshishi	重	zhong	chong
shamode	沙漠地	12508	shamodi	地	di	de
tiaojian	调监	12507	diaojian	调	diao	tiao
kuaishuliao	快熟了	12507	kuaishule	了	le	liao
renrendeier	人人得而	12505	renrendeer	得	de	dei
xietu	血吐	12505	xuetu	血	xue	xie
changxiaojizhi	长效机制	12503	zhangxiaojizhi	长	zhang	chang
chenchu	称出	12503	chengchu	称	cheng	chen
jizhuan	际传	12501	jichuan	传	chuan	zhuan
kanliaoyoukan	看了又看	12500	kanleyoukan	了	le	liao
zhizhuan	直传	12500	zhichuan	传	chuan	zhuan
chongde	冲地	12499	chongdi	地	di	de
bachong	八重	12492	bazhong	重	zhong	chong
chongzuo	重作	12492	zhongzuo	重	zhong	chong
daipo	大坡	12487	dapo	大	da	dai
daisi	大寺	12480	dasi	大	da	dai
chongchongdi	重重的	12478	chongchongde	的	de	di
hangbu	行步	12475	xingbu	行	xing	hang
daidan	大丹	12474	dadan	大	da	dai
hetiao	合调	12473	hediao	调	diao	tiao
xieqiao	蟹壳	12470	xieke	壳	ke	qiao
mianjue	面角	12466	mianjiao	角	jiao	jue
bideisi	彼得斯	12464	bidesi	得	de	dei
wuxiaoer	恶小而	12464	exiaoer	恶	e	wu
motingdaoguo	没听到过	12464	meitingdaoguo	没	mei	mo
zhuazhaobufang	抓着不放	12464	zhuazhebufang	着	zhe	zhao
zhuazhuobufang	抓着不放	12464	zhuazhebufang	着	zhe	zhuo
qinxian	亲见	12462	qinjian	见	jian	xian
lindei	淋得	12459	linde	得	de	dei
gongjikuai	共济会	12457	gongjihui	会	hui	kuai
jiase	加塞	12456	jiasai	塞	sai	se
gouzhua	狗爪	12455	gouzhao	爪	zhao	zhua
kese	克塞	12455	kesai	塞	sai	se
changzhu	长驻	12454	zhangzhu	长	zhang	chang
shanghaijiaodai	上海交大	12454	shanghaijiaoda	大	da	dai
laladi	辣辣的	12453	lalade	的	de	di
